name,state_abbr,degree_type,cash_monitoring,pred_degree_type,highest_degree,type_school,ST_FIPS,REGION,LOCALE,hbcu,pbi,annhi,tribal,AANAPII,his,nanti,men_only,women_only,admission_rate,sat_avg,distance_only,netprice_lowincome,tuit_fte,inexp_fte,avg_fac_salary,pct_ft_fac,pct_pell,C150_POOLED,age_entry,first_gen,med_fam_inc,pct_grad_degree,pct_domestic,median_hh_income,poverty_rate,unemployment_rate
Rabbinical Academy Mesivta Rabbi Chaim Berlin,NY,3,0,3,4,2,36,2,11,0,0,0,0,0,0,0,1,0,0.913793103,NULL,0,4585,2738,5450,6892,NULL,0.2022,0.2034,19.14814815,PrivacySuppressed,28140,13.64000034,55.50999832,54830.79,14.35999966,4.289999962
Rabbinical College Bobover Yeshiva Bnei Zion,NY,3,0,3,4,2,36,2,11,0,0,0,0,0,0,0,1,0,NULL,NULL,0,4719,9320,1891,3947,NULL,0.888,0.8679,17.94444444,PrivacySuppressed,24150,7.510000229,56.81999969,41763.21,24.23999977,3.50999999
Rabbinical College Beth Shraga,NY,2,0,2,3,2,36,2,21,0,0,0,0,0,0,0,1,0,1,NULL,0,12500,22154,20723,6089,NULL,0.2,0.5854,18.125,PrivacySuppressed,42223,11.19999981,67.47000122,54017.34,17.10000038,4.070000172
Rabbinical Seminary Mkor Chaim,NJ,NULL,0,3,3,2,34,2,21,0,0,0,0,0,0,0,1,0,1,NULL,0,4583,17914,20231,1068,NULL,0.7059,0,NULL,NULL,NULL,11.22999954,59.38999939,50683.94,18.25,3.619999886
Rabbinical College of Long Island,NY,2,0,3,3,2,36,2,21,0,0,0,0,0,0,0,1,0,1,NULL,0,4550,16656,19362,5023,1,0.3438,0.3889,18.19230769,PrivacySuppressed,44537.5,11.35999966,75.37000275,53394.93,15.5,4.059999943
Rabbinical Seminary of America,NY,3,0,3,4,2,36,2,11,0,0,0,0,0,0,0,1,0,0.956896552,NULL,0,6043,5469,6163,2636,0.9333,0.1661,0.2586,19.71052632,PrivacySuppressed,38643,13.22000027,61.47000122,61730.74,12.89000034,4.139999866
Rensselaer Polytechnic Institute,NY,3,0,3,4,2,36,2,13,0,0,0,0,0,0,0,0,0,0.530174877,1450,0,18465,30746,17153,13262,0.8689,0.1789,0.8553,19.57259615,0.137450199,96975.5,12.78999996,88.55000305,74851.88,5.860000134,3.049999952
Roberts Wesleyan University,NY,3,0,3,4,2,36,2,21,0,0,0,0,0,0,0,0,0,0.873880597,1154,0,18035,14125,8228,6780,0.9091,0.3578,0.6118,26.04470588,0.272030651,53344.5,9.18999958,94.01000214,60753.22,7.25,3.769999981
Rochester Institute of Technology,NY,3,0,3,4,2,36,2,21,0,0,0,0,0,0,0,0,0,0.713634083,1369,0,22987,23283,19117,10756,0.693,0.2658,0.7016,20.12653815,0.194684529,69191,11.69999981,90.73000336,69175.72,6.539999962,3.339999914
University of Rochester,NY,3,0,3,4,2,36,2,12,0,0,0,0,0,0,0,0,0,0.405464872,1455,0,16961,25532,29741,12969,0.9377,0.1673,0.8584,20.78617083,0.186765615,62874,14.75,88.23000336,76108.65,6.260000229,3.230000019
The Rockefeller University,NY,NULL,0,4,4,2,36,2,11,0,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,0,0,21415,0.9178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
Rockland Community College,NY,2,0,2,2,1,36,2,21,0,0,0,0,0,1,0,0,0,NULL,NULL,0,9137,5271,6934,8917,0.1929,0.2296,0.2767,22.95695067,0.420879121,29038.5,13.17000008,76.90000153,83623.31,8.56000042,3.099999905
Empire Beauty School-Manhattan,NY,1,0,1,1,3,36,2,11,0,0,0,0,0,0,0,0,0,NULL,NULL,0,17416,11117,11801,NULL,NULL,0.6264,0.5094,25.59338695,0.506461539,12594.5,8.239999771,62.79999924,49557.66,20.93000031,6.309999943
Russell Sage College,NY,3,0,3,4,2,36,2,13,0,0,0,0,0,0,0,0,0,0.73089172,NULL,0,16140,15910,8114,6269,0.8496,0.4099,0.622,22.44726811,0.375,43377,11.22999954,93.69000244,60191.67,7.639999866,3.50999999
St Bernard's School of Theology and Ministry,NY,3,0,4,4,2,36,2,21,0,0,0,0,0,0,0,0,0,NULL,NULL,0,NULL,13763,9044,4574,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
St Bonaventure University,NY,3,0,3,4,2,36,2,33,0,0,0,0,0,0,0,0,0,0.781081081,1174,0,15886,14768,8605,6738,0.6423,0.2703,0.7248,19.75510204,0.186440678,79145.5,10.96000004,92.93000031,64352.24,7.039999962,3.49000001
St. Francis College,NY,3,0,3,4,2,36,2,11,0,0,0,0,0,1,0,0,0,0.852495544,1121,0,12817,12431,9489,8863,0.2575,0.483,0.5312,21.47759771,0.411428571,34236,8.850000381,60.56000137,53129.58,17.60000038,5.369999886
St. Joseph's College of Nursing,NY,2,0,2,2,2,36,2,12,0,0,0,0,0,0,0,0,0,0.615384615,NULL,0,15735,18701,10771,7504,0.75,0.2868,0.8333,25.98062016,0.280851064,48658,9.659999847,94.76999664,58567.43,8.119999886,3.650000095
