"","name","state","state_code.x","type","degree_length","room_and_board","in_state_tuition","in_state_total","out_of_state_tuition","out_of_state_total","total_enrollment","rank","early_career_pay","mid_career_pay","make_world_better_percent","stem_percent","matched","degree_type","cash_monitoring","pred_degree_type","highest_degree","type_school","ST_FIPS","REGION","LOCALE","hbcu","pbi","annhi","tribal","AANAPII","his","nanti","men_only","women_only","admission_rate","sat_avg","distance_only","netprice_lowincome","tuit_fte","inexp_fte","avg_fac_salary","pct_ft_fac","pct_pell","C150_POOLED","age_entry","first_gen","med_fam_inc","pct_grad_degree","pct_domestic","median_hh_income","poverty_rate","unemployment_rate","Women","American Indian / Alaska Native","Asian","Black","Hispanic","Native Hawaiian / Pacific Islander","White","Two Or More Races","Unknown","Non-Resident Foreign","Total Minority"
"58","Bethany College","West Virginia","WV","Private","4 Year",10580,29773,40353,29773,40353,NA,6,46000,84900,63,5,"Bethany College","3",0,3,4,2,54,"5","41","0","0","0","0","0","0","0","0","0",0.735527359,1061,"0","8579","7015","7352","6036","1","0.4429","0.4335",19.88161209,0.338797814,50433,6.900000095,0.338797814,"53018.22","8.68999958","3.359999895",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","Bethel University","Minnesota","MN","Private","4 Year",10520,37300,47820,37300,47820,NA,21,51000,85700,65,9,"Bethel University","3",0,3,4,2,27,"4","21","0","0","0","0","0","0","0","0","0",0.886829268,1188,"0","19973","16302","8662","7647","0.4023","0.213","0.742",23.83925687,0.185825411,77425.5,9.159999847,0.185825411,"77038.37","3.880000114","2.460000038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","Birmingham-Southern College","Alabama","AL","Private","4 Year",12350,17650,30000,17650,30000,1185,7,49100,88300,48,27,"Birmingham-Southern College","3",0,3,3,2,1,"5","12","0","0","0","0","0","0","0","0","0",0.659081674,1214,"0","17414","10137","11867","7636","0.8295","0.2152","0.7033",19.64479638,0.172494173,68094.5,11.67000008,0.172494173,"64789.39","7.909999847","2.839999914",550,12,62,130,23,0,946,6,6,0,233
"61","Black Hills State University","South Dakota","SD","Public","4 Year",6978,8733,15711,11778,18756,4489,10,40400,72600,51,11,"Black Hills State University","3",0,3,4,1,46,"4","32","0","0","0","0","0","0","0","0","0",0.972503618,1065,"0","12664","6535","6211","7283","0.5764","0.2218","0.4092",22.82917466,0.283967391,51046,6.190000057,0.283967391,"49477.45","9.329999924","3.559999943",2916,154,22,41,166,10,3697,143,183,73,536
"62","Bloomfield College","New Jersey","NJ","Private","4 Year",11950,29550,41500,29550,41500,2004,23,48400,89100,55,17,"Bloomfield College","3",0,3,4,2,34,"2","21","0","1","0","0","0","1","0","0","0",0.840336134,941,"0","20964","16901","8946","9645","1","0.7032","0.3554",21.68601799,0.508421053,26423,7.96999979,0.508421053,"62332.64","12.64000034","5.590000153",1278,12,56,1044,484,8,216,11,103,70,1615
"63","Bluefield State College","West Virginia","WV","Public","4 Year",NA,8820,8820,16920,16920,1563,15,43200,72800,60,3,"Bluefield State University","3",0,3,3,1,54,"5","32","1","0","0","0","0","0","0","0","0",0.968596663,1020,"0","8963","4784","6698","6561","0.5806","0.4755","0.3207",24.33858268,0.492492493,26625,4.739999771,0.492492493,"36594.82","16.11000061","4.300000191",968,4,3,156,17,0,1319,17,13,34,197
"64","Boise State University","Idaho","ID","Public","4 Year",10692,7694,18386,23776,34468,22227,4,50100,86400,55,14,"Boise State University","3",0,3,4,1,16,"7","12","0","0","0","0","0","0","0","0","0",0.831288344,NA,"0","13655","9383","7859","8627","0.5783","0.2105","0.5407",23.6500832,0.33470852,42915,7.71999979,0.33470852,"58298.66","7.199999809","3.359999895",12120,132,436,357,2149,71,16919,697,650,816,3842
"65","Boston College","Massachusetts","MA","Private","4 Year",14478,55464,69942,55464,69942,14317,11,63600,115400,43,13,"Boston College","3",0,3,4,2,25,"1","13","0","0","0","0","0","0","0","0","0",0.190408071,1485,"0","13685","38133","23682","15909","0.5858","0.1299","0.9124",19.46906475,0.131895687,103007,16.15999985,0.131895687,"83893.95","5.929999828","2.880000114",7808,15,1144,575,1238,1,8299,375,1269,1401,3348
"66","Boston University","Massachusetts","MA","Private","4 Year",15720,53948,69668,53948,69668,32112,13,61400,113600,43,25,"Boston University","3",0,3,4,2,25,"1","11","0","0","0","0","0","0","0","0","0",0.186452532,1447,"0","10624","33819","30056","15151","0.6957","0.1728","0.8918",19.95540186,0.169382716,81244,15.52999973,0.169382716,"83140.68","5.769999981","2.900000095",18765,27,3448,1190,2419,34,14642,868,3072,6412,7986
"67","Bowdoin College","Maine","ME","Private","4 Year",14698,53922,68620,53922,68620,1805,2,61300,112000,54,37,"Bowdoin College","3",0,3,3,2,23,"1","31","0","0","0","0","0","0","0","0","0",0.088150134,NA,"0","5156","33065","36667","12865","0.902","0.1733","0.9438",19.38782051,0.188356164,61622.5,15.89999962,0.188356164,"75490.21","7.429999828","3.380000114",903,2,114,88,229,0,1147,117,10,98,550
"68","Bowie State University","Maryland","MD","Public","4 Year",10904,8233,19137,18873,29777,5695,18,50300,89900,65,11,"Bowie State University","3",0,3,4,1,24,"2","21","1","0","0","0","0","0","0","0","0",0.870429892,932,"0","11398","5121","8316","9021","0.5302","0.4542","0.425",22.43754619,0.355200691,36428.5,11.13000011,0.355200691,"77046.6","6.909999847","3.809999943",3583,6,81,4751,147,9,201,168,98,234,5162
"69","Bowling Green State University","Ohio","OH","Public","4 Year",9168,11105,20273,19093,28261,NA,25,47200,87500,45,11,"Bowling Green State University-Main Campus","3",0,3,4,1,39,"3","31","0","0","0","0","0","0","0","0","0",0.78731894,1131,"0","11369","9866","9070","9779","0.7142","0.2353","0.6231",20.80593821,0.303294847,63845,7.769999981,0.303294847,"63749.73","5.980000019","2.940000057",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","Bradley University","Illinois","IL","Private","4 Year",10620,33760,44380,33760,44380,5300,6,55600,104900,46,38,"Bradley University","3",0,3,4,2,17,"3","12","0","0","0","0","0","0","0","0","0",0.758630923,1205,"0","17609","17848","13730","9123","0.5695","0.2779","0.7563",20.05574713,0.236043689,79479,9.699999809,0.236043689,"74072.54","5.179999828","2.960000038",2673,10,144,245,282,5,3507,69,651,387,755
